Crash Nitro Kart,SLES_515.11
Silent Hill 2 - Directors Cut,SLES_511.56
Devil May Cry 3 DA,SLES_530.38
Super mario bros collection,SLUS_000.09
Virtua Tennis 2,SLES_512.32
METAL SLUG ANTHOLOGY,SLUS_215.50
PWE ARGENTO 2025,SLES_556.76
LEGO Batman The Videogame,SLUS_217.85
Need for Speed Underground,SLUS_208.11
DEF JAM - FIGHT FOR NY,SLUS_210.04
El Padrino,SLES_539.71
Mortal Kombat Shaolin Monks,SLES_535.24
Silent Hill 3,SLES_514.34
Need for Speed Most Wanted,SLUS_212.67
BLACK,SLES_538.86
Bully rip,SLES_535.61
Resident Evil Code Veronica X,SLES_503.06
Top Spin,SLES_531.75
Need for Speed - Underground 2,SLES_527.25
Tekken 5,SCES_532.02
Urban Reign,SCES_536.88
Street Fighter III 3rd Strike,SLPM_656.21
Pro Evolution Soccer 6,SLES_543.62
Resident Evil Survivor 2 CV,SLES_506.50
Spyro - Dawn of the Dragon,SLES_551.63
OBSCURE,SLES_525.08
Guitar Hero II,SLES_544.42
Stret Fighter AniversaryColectio,SLUS_209.49
Crash Tag Team Racing,SLUS_211.91
Need for Speed Carbon,SLES_543.23
Resident Evil Code Veronica,SLES_503.06
Spyro - The Eternal Night,SLES_548.15
Spider-Man 2,SLES_523.72
Final Fantasy XII IZJS patched,SLPM_667.50
Guitar Hero 3 Warriors of Rock,SLUS_216.72
Marvel vs Capcom 2,SLUS_204.86
Capcom vs SNK 2,SLUS_202.46
Sega Sports Tennis,SLUS_204.80
Worms Forts - Under Siege,SLES_527.34
Crash Bandicoot 4,SLES_503.86
LEGO Star Wars - The Videogame,SLES_531.94
DisneyPixar Ratatouille,SLES_547.47
DisneyPixar Los Increíbles,SLES_528.16
Shrek 2,SLES_523.82
DisneyPixar Up,SLES_555.23
Dragon Ball Z - Sagas,SLUS_208.74
SPYRO - A HEROS TAIL,SLES_525.69
The Adventures of Cookie Cream,SLUS_201.70
Silent Hill Shattered Memories,SLUS_218.99
Peter Jacksons King Kong,SLES_537.03
DisneyPixar Toy Story 3,SLES_556.22
Sonic Mega Collection Plus,SLUS_209.17
TMNT - Smash-Up,SLUS_219.04
Marvel Ultimate Alliance 2,SLUS_218.79
The King of Fighters Orochi Saga,SLUS_215.54
The Simpsons Hit Run,SLES_518.97
Spyro - Enter the Dragonfly,SLES_510.43
Echo Night Beyond,SLUS_209.28
Crash n Burn,SLES_523.39
OBSCURE - THE AFTERMATH,SLUS_217.09
Sega Superstars Tennis,SLUS_217.33
Worms 3D,SLES_518.43
Ben 10 Alien Force,SLUS_218.15
TMNT 3 Mutant Nightmare,SLES_538.50
CRASH OF THE TITANS,SLES_548.41
Project Zero 3 - Tormented,SLES_538.25
CRASH TWINSANITY,SLES_525.68
The X-Files Resist or Serve,SLUS_201.79
RULE OF ROSE,SLES_542.18
Dragon Ball Z - Infinite World,SLES_553.47
Guitar Hero,SLES_541.32
X-Men Legends II,SLES_533.77
Resident Evil 4,SLUS_211.34
Rayman 3 - Hoodlum Havoc,SLES_512.22
DisneyPixar Cars,SLES_540.07
Silent Hill Origins,SLUS_217.31
Crash Mind over Mutant,SLES_552.04
Alone in the Dark,SLES_552.07
Fahrenheit,SLES_535.40
Pac-man World 3,SLES_539.59
Tony Hawks Underground 2,SLES_526.22
Area 51,SLES_525.70
Project Zero 2 Crimson Butterfly,SLES_523.84
PROJECT ZERO,SLES_508.21
Baldurs Gate - Dark Alliance,SLES_506.72
Silent Hill 4 - The ROOM,SLES_524.45
Spyro - A New Beginning,SLES_543.59
Warriors Orochi 2,SLES_553.82
ESDLA Las Dos Torres,SLES_512.56
DBZ Budokai Tenkaichi 3 INGLES,SLUS_216.78
CLOCK TOWER 3,SLES_516.19
Darkwatch,SLES_535.64
Dragon Ball Z Budokai 3,SLES_527.30
Dragon Ball Z Tenkaichi 3,SLUS_216.78
ESDLA El Retorno del Rey,SLES_520.20
Forbidden Siren,SCES_523.30
Forbidden Siren 2,SCES_538.51
God of War E,SCES_531.33
God of War II E,SCES_542.06
Gran Turismo 4,SCES_517.19
Grand Theft Auto San Andreas,SLUS_209.46
Grand Theft Auto Vice City,SLES_510.61
Harry Potter 6,SLES_552.48
Lego indiana jones,SLES_551.33
LEGO Star Wars II,SLES_542.21
Mortal Kombat  Deadly Alliance,SLES_507.17
Mortal Kombat Armageddon,SLUS_215.43
Resident Evil - Outbreak,SLES_515.89
Resident Evil - Outbreak File 2,SLES_533.19
Resident Evil 4,SLES_537.02
Shadow of the Colossus,SCES_533.26
Star Wars Battlefront II,SLES_535.01
The Simpsons Game,SLES_549.06
SILENT HILL,SLUS_007.07
ResidentEvil 2 DualShock(Disc 1),SLUS_007.48
ResidentEvil 2 DualShock(Disc 2),SLUS_007.56
DisneyPixar Toy Story 2,SLUS_008.93
RESIDENT EVIL 3 - NEMESIS,SLUS_009.23
Resident Evil (USA),SLUS_001.70
PINK PANTHER,SLES_039.32
